0,0,E,1,0
1,0,E,3,0
4,0,E,3,90
4,3,S,1,270
5,3,E,2,0
7,3,E,3,270
7,0,N,1,270
6,0,W,2,0
4,0,W,1,270
4,1,S,3,90
1,1,W,1,0
0,1,W,3,270
0,4,S,3,270
3,4,E,1,0
4,4,E,1,0
5,4,E,2,0
7,4,E,2,0
9,4,E,3,0
12,4,E,3,90
12,7,S,1,270
13,7,E,2,270
13,5,N,1,90
14,5,E,1,90
14,6,S,3,270
17,6,E,1,90
17,7,S,3,270
20,7,E,3,0
23,7,E,2,270
23,5,N,1,90
24,5,E,2,270
24,3,N,1,270
23,3,W,1,270
23,4,S,2,270
25,4,E,2,90
25,6,S,2,90
23,6,W,1,0
22,6,W,3,0
19,6,W,2,270
19,8,S,3,0
19,11,S,2,90
17,11,W,2,0
15,11,W,1,270
15,12,S,3,0
15,15,S,1,90
14,15,W,1,90
14,14,N,1,90
15,14,E,3,270
15,11,N,2,0
15,9,N,3,90
18,9,E,1,90
18,10,S,1,0
18,11,S,1,90
17,11,W,3,90
17,8,N,3,270
14,8,W,1,90
14,7,N,1,270
13,7,W,3,90
13,4,N,2,270
11,4,W,3,270
11,7,S,3,270
14,7,E,3,0
17,7,E,2,270
17,5,N,1,90
18,5,E,2,90
18,7,S,1,90
17,7,W,1,0
16,7,W,1,0
15,7,W,2,90
15,5,N,2,0
15,3,N,1,0
15,2,N,2,0
15,0,N,1,90
16,0,E,1,0
17,0,E,2,90
17,2,S,2,0
17,4,S,1,90
16,4,W,1,270
16,5,S,3,90
13,5,W,1,0
12,5,W,1,0
11,5,W,3,90
11,2,N,2,0
11,0,N,2,90
13,0,E,2,90
13,2,S,2,270
15,2,E,2,90
15,4,S,1,90
14,4,W,3,90
14,1,N,2,270
12,1,W,2,270
12,3,S,1,0
12,4,S,3,270
15,4,E,2,0
17,4,E,3,0
20,4,E,3,0
23,4,E,2,270
23,2,N,1,0
23,1,N,2,270
21,1,W,2,270
21,3,S,3,270
24,3,E,3,270
24,0,N,1,270
23,0,W,1,270
23,1,S,2,270
25,1,E,1,270
25,0,N,3,90
28,0,E,1,90
28,1,S,1,90
27,1,W,1,90
27,0,N,3,270
24,0,W,1,270
24,1,S,3,270
27,1,E,1,270
27,0,N,2,90
29,0,E,1,90
29,1,S,1,0
29,2,S,3,0
29,5,S,1,90
28,5,W,2,0
26,5,W,1,270
