0,0,E,1,0
1,0,E,2,0
3,0,E,1,90
3,1,S,2,270
5,1,E,2,90
5,3,S,2,90
3,3,W,3,0
0,3,W,1,90
0,2,N,1,90
1,2,E,2,270
1,0,N,1,270
0,0,W,2,270
0,2,S,1,270
1,2,E,3,90
1,5,S,3,0
1,8,S,1,270
2,8,E,3,0
5,8,E,3,90
5,11,S,3,0
5,14,S,1,0
5,15,S,1,270
6,15,E,3,90
6,18,S,2,90
4,18,W,1,0
3,18,W,2,0
1,18,W,1,270
1,19,S,2,270
3,19,E,2,0
5,19,E,1,90
5,20,S,3,90
2,20,W,1,0
1,20,W,3,270
1,23,S,3,0
1,26,S,3,270
4,26,E,2,90
4,28,S,1,0
4,29,S,3,270
7,29,E,1,0
8,29,E,2,270
8,27,N,1,270
7,27,W,3,0
4,27,W,3,0
1,27,W,3,90
1,24,N,3,90
4,24,E,3,0
7,24,E,2,270
7,22,N,1,0
7,21,N,1,90
8,21,E,2,90
8,23,S,2,0
8,25,S,3,0
8,28,S,1,90
7,28,W,1,0
6,28,W,1,90
6,27,N,1,90
7,27,E,3,0
10,27,E,1,0
11,27,E,1,0
12,27,E,2,270
12,25,N,1,90
13,25,E,3,270
13,22,N,3,90
16,22,E,1,270
16,21,N,1,0
16,20,N,2,0
16,18,N,2,0
16,16,N,3,270
13,16,W,1,90
13,15,N,1,0
13,14,N,1,0
13,13,N,2,270
11,13,W,3,0
8,13,W,2,90
8,11,N,2,90
10,11,E,3,270
10,8,N,1,90
11,8,E,1,90
11,9,S,1,90
10,9,W,1,270
10,10,S,1,0
10,11,S,2,270
12,11,E,3,270
12,8,N,3,270
9,8,W,2,270
9,10,S,1,90
8,10,W,1,0
7,10,W,2,90
7,8,N,1,90
8,8,E,2,270
8,6,N,3,0
8,3,N,1,90
9,3,E,3,0
12,3,E,3,90
12,6,S,2,0
12,8,S,3,0
12,11,S,3,0
12,14,S,2,0
12,16,S,1,0
12,17,S,1,270
13,17,E,1,270
13,16,N,3,270
10,16,W,1,0
9,16,W,1,90
9,15,N,3,0
9,12,N,1,0
9,11,N,3,0
9,8,N,1,270
8,8,W,3,90
8,5,N,3,270
5,5,W,1,0
4,5,W,3,0
1,5,W,3,90
1,2,N,1,270
0,2,W,2,270
0,4,S,3,270
3,4,E,2,270
3,2,N,1,270
2,2,W,1,90
2,1,N,2,90
4,1,E,2,0
6,1,E,1,0
7,1,E,1,90
7,2,S,2,270
9,2,E,1,270
9,1,N,1,0
9,0,N,3,270
6,0,W,1,0
5,0,W,1,0
4,0,W,3,0
1,0,W,2,270
1,2,S,1,90
0,2,W,2,270
0,4,S,3,0
0,7,S,2,270
2,7,E,3,270
2,4,N,2,270
0,4,W,1,90
0,3,N,1,90
1,3,E,3,270
1,0,N,3,90
4,0,E,2,0
6,0,E,1,0
7,0,E,1,90
7,1,S,1,270
8,1,E,1,90
8,2,S,1,90
7,2,W,1,90
7,1,N,1,270
6,1,W,3,0
3,1,W,3,0
0,1,W,3,270
0,4,S,3,0
0,7,S,1,270
1,7,E,3,270
1,4,N,3,0
1,1,N,3,90
4,1,E,2,0
6,1,E,2,0
8,1,E,1,0
9,1,E,2,90
9,3,S,1,270
10,3,E,3,270
10,0,N,2,90
12,0,E,3,90
12,3,S,1,270
13,3,E,3,270
13,0,N,2,90
15,0,E,3,90
15,3,S,2,0
15,5,S,1,90
14,5,W,2,270
14,7,S,2,0
14,9,S,3,270
17,9,E,2,0
19,9,E,1,90
19,10,S,3,90
16,10,W,1,0
15,10,W,3,90
