0,0,E,1,0
1,0,E,3,0
4,0,E,3,90
4,3,S,1,0
4,4,S,3,90
1,4,W,1,0
0,4,W,1,270
0,5,S,2,0
0,7,S,2,270
2,7,E,1,90
2,8,S,2,90
0,8,W,3,90
0,5,N,1,90
1,5,E,3,90
1,8,S,1,0
1,9,S,2,270
3,9,E,3,0
6,9,E,2,90
6,11,S,3,0
6,14,S,2,90
4,14,W,2,90
4,12,N,2,270
2,12,W,3,90
2,9,N,1,90
3,9,E,3,0
6,9,E,2,90
6,11,S,3,270
9,11,E,2,270
9,9,N,2,270
7,9,W,1,270
7,10,S,1,270
8,10,E,3,90
8,13,S,1,0
8,14,S,1,90
7,14,W,1,270
7,15,S,1,270
8,15,E,2,270
8,13,N,1,270
7,13,W,2,90
7,11,N,2,270
5,11,W,3,0
2,11,W,1,90
2,10,N,3,0
2,7,N,2,0
2,5,N,3,0
2,2,N,1,0
2,1,N,2,90
4,1,E,1,0
5,1,E,2,0
7,1,E,2,90
7,3,S,3,90
4,3,W,3,90
4,0,N,2,90
6,0,E,1,0
7,0,E,2,90
7,2,S,1,90
6,2,W,1,90
6,1,N,2,90
8,1,E,1,0
9,1,E,3,90
9,4,S,3,270
12,4,E,2,0
14,4,E,1,270
14,3,N,3,90
17,3,E,3,0
20,3,E,3,90
20,6,S,2,0
20,8,S,1,0
20,9,S,1,90
19,9,W,3,0
16,9,W,2,90
16,7,N,2,90
18,7,E,1,270
18,6,N,1,270
17,6,W,1,90
17,5,N,1,0
17,4,N,1,0
17,3,N,2,270
15,3,W,1,0
14,3,W,2,270
14,5,S,2,0
14,7,S,3,90
11,7,W,1,0
10,7,W,3,270
10,10,S,2,0
10,12,S,1,90
9,12,W,1,0
8,12,W,2,0
6,12,W,1,90
6,11,N,1,270
5,11,W,3,90
5,8,N,1,0
5,7,N,1,90
6,7,E,2,0
8,7,E,1,0
9,7,E,2,90
9,9,S,3,270
12,9,E,1,90
12,10,S,2,90
10,10,W,1,0
9,10,W,3,90
9,7,N,3,0
9,4,N,3,270
6,4,W,1,270
6,5,S,2,270
8,5,E,1,270
8,4,N,3,90
11,4,E,2,270
11,2,N,3,270
8,2,W,2,90
8,0,N,1,90
9,0,E,3,90
9,3,S,2,270
11,3,E,2,0
13,3,E,3,90
13,6,S,2,0
13,8,S,3,270
16,8,E,3,0
19,8,E,1,90
19,9,S,1,0
